Drive_Y,Drive_Twist,Ears,Hat,Tilt,Time
0,0,0,0,0,8.261761
0,0,0,0,0,8.321764
0,0,0,0,0,8.382294
0,0,0,0,0,8.441883
0,0,0,0,0,8.502002
0,0,0,0,0,8.562238
0,0,0,0,0,8.622241
0,0,0,0,0,8.681987
0,0,0,0,0,8.741526
0,0,0,0,0,8.801383
0,0,0,0,0,8.861657
0,0,0,0,0,8.921597
0,0,0,0,0,8.981499
0,0,0,0,0,9.041137
0,0,0,0,0,9.101172
0,0,0,0,0,9.161237
0,0,0,0,0,9.22117
0,0,0,0,0,9.281685
0,0,0,0,0,9.341377
0,0,0,0,0,9.400899
0,0,0,0,0,9.460433
0,0,0,0,0,9.520403
0,0,0,0,0,9.580063
0,0,0,0,0,9.640752
0,0,0,0,0,9.700866
0,0,0,0,0,9.760749
0,0,0,0,0,9.821117
0,0,0,0,0,9.881193
0,0,0,0,0,9.940812
0,0,0,0,0,10.000585
0,0,0,0,0,10.060415
0,0,0,0,0,10.120519
0,0,0,0,0,10.18086
0,0,0,0,0,10.241122
0,0,0,0,0,10.300893
0,0,0,0,0,10.360801
0,0,0,0,0,10.420539
0,0,0,0,0,10.480587
0,0,0,0,0,10.540975
0,0,0,0,0,10.601091
0,0,0,0,0,10.66164
0,0,0,0,0,10.722476
0,0,0,0,0,10.783358
0,0,0,0,0,10.843153
0,0,0,0,0,10.903175
0,0,0,0,0,10.96337
0,0,0,0,0,11.023882
0,0,0,0,0,11.085592
0,0,0,0,0,11.146029
0,0,0,0,0,11.207111
0,0,0,0,0,11.269968
0,0,0,0,0,11.338424
0,0,0,0,0,11.40067
0,0,0,0,0,11.460652
0,0,0,0,0,11.520577
0,0,0,0,0,11.580518
0,0,0,0,0,11.643027
0,0,0,0,0,11.703217
0,0,0,0,0,11.763226
0,0,0,0,0,11.827157
0,0,0,0,0,11.889874
0,0,0,0,0,11.95564
0,0,0,0,0,12.019555
0,0,0,0,0,12.080042
0,0,0,0,0,12.140501
0,0,0,0,0,12.201819
0,0,0,0,0,12.261713
0,0,0,0,0,12.321599
0,0,0,0,0,12.38118
0,0,0,0,0,12.44116
0,0,0,0,0,12.500987
0,0,0,0,0,12.561248
0,0,0,0,0,12.620897
0,0,0,0,0,12.682891
0,0,0,0,0,12.742831
0,0,0,0,0,12.80246
0,0,0,0,0,12.864197
0,0,0,0,0,12.927237
0,0,0,0,0,12.98931
0,0,0,0,0,13.053663
0,0,0,0,0,13.118968
0,0,0,0,0,13.17876
0,0,0,0,0,13.240041
0,0,0,0,0,13.300211
0,0,0,0,0,13.359858
0,0,0,0,0,13.419978
0,0,0,0,0,13.480515
0,0,0,0,0,13.540455
0,0,0,0,0,13.6005
0,0,0,0,0,13.660545
0,0,0,0,0,13.721104
0,0,0,0,0,13.78112
0,0,0,0,0,13.841206
0,0,0,0,0,13.901111
0,0,0,0,0,13.960828
0,0,0,0,0,14.021061
0,0,0,0,0,14.080956
0,0,0,0,0,14.140644
0,0,0,0,0,14.201716
0,0,0,0,0,14.261214
0,0,0,0,0,14.321055
0,0,0,0,0,14.381774
0,0,0,0,0,14.441727
0,0,0,0,0,14.501761
0,0,0,0,0,14.561706
0,0,0,0,0,14.622096
0,0,0,0,0,14.682543
0,0,0,0,0,14.742462
0,0,0,0,0,14.802146
0,0,0,0,0,14.862006
0,0,0,0,0,14.921907
0,0,0,0,0,14.981492
0,0,0,0,0,15.041099
